Period,population[0],population[1],population[2],population[3],population[4],population[5],population[6],population[7],population[8],population[9]
0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1,1006,1004,1001,1005,998,1000,1002,1004,1002,1005
2,1012,1005,1001,1007,1001,1001,999,1012,1006,1009
3,1014,1008,1001,1011,1001,1005,998,1007,1007,1011
4,1015,1017,1000,1009,1002,1006,1002,1008,1005,1016
5,1017,1012,1000,1007,1002,1004,999,1003,1010,1016
6,1011,1014,1003,1008,1003,1002,997,1006,1016,1014
7,1011,1016,1004,1009,1010,1006,989,1005,1024,1019
8,1016,1019,1005,1008,1010,1009,992,1003,1021,1018
9,1019,1028,1000,1002,1013,1012,996,998,1021,1019
10,1023,1027,1001,1007,1018,1010,999,997,1016,1015
11,1026,1029,1002,1012,1020,1004,996,993,1020,1016
12,1028,1029,1005,1010,1021,1006,993,998,1021,1020
13,1029,1030,1004,1007,1022,1014,997,996,1023,1026
14,1033,1026,1006,1010,1025,1016,1003,1000,1023,1025
15,1034,1027,1010,1014,1029,1017,1008,1007,1020,1017
16,1030,1030,1009,1019,1030,1018,1014,1006,1023,1015
17,1032,1036,1014,1017,1032,1019,1015,1008,1012,1014
18,1035,1035,1015,1018,1040,1020,1010,1004,1014,1008
19,1036,1038,1018,1024,1042,1020,1015,1003,1015,1014
20,1039,1034,1025,1025,1046,1024,1017,1007,1008,1013
21,1039,1034,1024,1023,1043,1026,1020,1009,1006,1013
22,1041,1036,1023,1024,1044,1026,1024,1007,1014,1012
23,1040,1040,1023,1021,1048,1031,1020,1007,1015,1018
24,1042,1041,1027,1022,1047,1030,1025,996,1013,1022
25,1038,1034,1029,1026,1047,1034,1027,995,1025,1028
26,1041,1039,1034,1030,1046,1034,1029,994,1029,1033
27,1044,1036,1036,1037,1051,1031,1032,991,1030,1033
28,1047,1036,1041,1037,1052,1031,1034,990,1033,1031
29,1052,1039,1045,1033,1049,1033,1039,990,1038,1028
30,1060,1040,1048,1034,1046,1036,1034,995,1038,1030
31,1065,1042,1047,1038,1042,1043,1040,997,1040,1027
32,1064,1047,1056,1042,1053,1040,1043,997,1040,1024
33,1066,1052,1064,1037,1055,1040,1043,999,1035,1022
34,1067,1050,1067,1036,1053,1041,1042,1002,1041,1021
35,1070,1046,1070,1033,1053,1042,1044,1005,1039,1024
36,1073,1044,1072,1031,1058,1047,1048,1009,1038,1030
37,1073,1046,1076,1034,1064,1047,1054,1007,1041,1033
38,1075,1045,1082,1042,1063,1049,1058,1014,1041,1036
39,1079,1049,1089,1047,1066,1058,1053,1018,1039,1032
40,1082,1050,1094,1050,1070,1054,1045,1023,1043,1033
41,1081,1054,1094,1047,1071,1058,1046,1028,1040,1032
42,1082,1061,1090,1051,1073,1056,1050,1030,1042,1037
43,1079,1067,1092,1059,1081,1056,1057,1032,1040,1042
44,1081,1066,1086,1067,1085,1061,1055,1041,1041,1042
45,1080,1066,1089,1070,1087,1064,1061,1045,1038,1048
46,1076,1075,1099,1069,1091,1066,1058,1038,1040,1048
47,1082,1079,1102,1070,1093,1068,1062,1037,1037,1053
48,1088,1079,1105,1072,1101,1069,1066,1039,1035,1058
49,1088,1083,1109,1075,1104,1072,1063,1036,1042,1060
50,1096,1084,1112,1074,1103,1071,1062,1040,1044,1060
51,1098,1086,1120,1074,1100,1075,1058,1041,1045,1057
52,1097,1090,1118,1073,1103,1079,1066,1040,1048,1058
53,,,,,,,,,,
Period,population[0],population[1],population[2],population[3],population[4],population[5],population[6],population[7],population[8],population[9]
0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1,1004,1007,1003,999,1000,1004,1005,1001,1003,1003
2,1011,1008,1006,1002,1006,1003,1008,995,1006,1001
3,1013,1011,1005,1004,1005,1004,1012,990,1008,1000
4,1011,1016,999,1009,1001,1001,1010,992,1010,996
5,1010,1021,1000,1010,999,1007,1007,991,1014,998
6,1010,1022,1000,1007,1004,1006,1009,989,1017,998
7,1010,1022,1002,1013,1000,1007,1019,997,1028,998
8,1008,1018,1004,1008,1002,1006,1028,1004,1026,1001
9,1009,1023,1015,1009,997,1009,1032,1015,1026,999
10,1011,1027,1019,1010,1001,1009,1036,1018,1025,999
11,1017,1032,1019,1013,1004,1009,1035,1018,1026,1004
12,1020,1034,1013,1012,1008,1006,1037,1015,1026,1009
13,1022,1034,1012,1016,1007,1007,1036,1013,1026,1014
14,1023,1035,1019,1012,1016,1010,1037,1013,1023,1019
15,1023,1034,1020,1013,1012,1013,1039,1013,1027,1018
