Period,Age Group,Category 0,Category 1
0,0-20,0,0
0,20-40,0,1
0,40-60,0,0
0,60-80,0,2
0,80-inf,2,0
1,0-20,0,0
1,20-40,0,1
1,40-60,0,0
1,60-80,1,0
1,80-inf,1,1
2,0-20,1,0
2,20-40,2,1
2,40-60,1,1
2,60-80,1,0
2,80-inf,0,1
3,0-20,0,1
3,20-40,1,0
3,40-60,1,1
3,60-80,0,0
3,80-inf,0,0
4,0-20,0,2
4,20-40,4,0
4,40-60,0,1
4,60-80,0,0
4,80-inf,1,0
5,0-20,1,4
5,20-40,1,0
5,40-60,1,1
5,60-80,0,0
5,80-inf,0,0
6,0-20,0,1
6,20-40,0,0
6,40-60,2,2
6,60-80,0,1
6,80-inf,2,0
7,0-20,0,0
7,20-40,1,1
7,40-60,0,0
7,60-80,0,1
7,80-inf,0,0
8,0-20,0,2
8,20-40,0,0
8,40-60,0,0
8,60-80,0,0
8,80-inf,0,0
9,0-20,0,1
9,20-40,1,0
9,40-60,0,2
9,60-80,0,1
9,80-inf,0,1
10,0-20,3,1
10,20-40,2,0
10,40-60,1,1
10,60-80,0,0
10,80-inf,0,0
11,0-20,0,0
11,20-40,0,0
11,40-60,0,0
11,60-80,1,0
11,80-inf,1,0
12,0-20,1,0
12,20-40,4,0
12,40-60,3,1
12,60-80,0,1
12,80-inf,0,0
13,0-20,0,0
13,20-40,0,0
13,40-60,1,1
13,60-80,0,0
13,80-inf,0,0
14,0-20,0,1
14,20-40,1,1
14,40-60,1,1
14,60-80,0,1
14,80-inf,2,0
15,0-20,0,2
15,20-40,0,0
15,40-60,2,0
15,60-80,0,0
15,80-inf,0,1
16,0-20,3,0
16,20-40,3,0
16,40-60,0,0
16,60-80,0,1
16,80-inf,0,0
17,0-20,0,1
17,20-40,1,0
17,40-60,0,0
17,60-80,0,0
17,80-inf,1,0
18,0-20,0,0
18,20-40,0,0
18,40-60,0,1
18,60-80,2,1
18,80-inf,0,1
19,0-20,1,1
19,20-40,1,1
19,40-60,0,0
19,60-80,1,0
19,80-inf,1,0
20,0-20,2,0
20,20-40,1,0
20,40-60,0,0
20,60-80,1,0
20,80-inf,0,1
21,0-20,1,1
21,20-40,0,1
21,40-60,0,0
21,60-80,1,0
21,80-inf,2,1
22,0-20,1,0
22,20-40,0,0
22,40-60,0,0
22,60-80,0,2
22,80-inf,2,0
23,0-20,0,1
23,20-40,0,1
23,40-60,0,1
23,60-80,0,0
23,80-inf,0,0
24,0-20,1,1
24,20-40,1,0
24,40-60,0,0
24,60-80,0,1
24,80-inf,2,1
25,0-20,1,0
25,20-40,0,1
25,40-60,0,0
25,60-80,1,1
25,80-inf,0,1
26,0-20,1,2
26,20-40,0,1
26,40-60,0,0
26,60-80,0,0
26,80-inf,1,0
27,0-20,1,1
27,20-40,0,1
27,40-60,1,0
27,60-80,1,0
27,80-inf,2,1
28,0-20,0,1
28,20-40,0,0
28,40-60,0,0
28,60-80,1,0
28,80-inf,0,1
29,0-20,1,3
29,20-40,1,0
29,40-60,0,0
29,60-80,1,1
29,80-inf,0,0
30,0-20,0,1
30,20-40,1,0
30,40-60,1,0
30,60-80,0,0
30,80-inf,0,0
31,0-20,1,2
31,20-40,0,0
31,40-60,0,0
31,60-80,0,1
31,80-inf,1,1
