Period,Age Group,Category 0,Category 1
0,0-20,89,124
0,20-40,124,94
0,40-60,90,85
0,60-80,103,103
0,80-inf,93,95
1,0-20,95,129
1,20-40,124,93
1,40-60,90,85
1,60-80,103,101
1,80-inf,91,95
2,0-20,103,133
2,20-40,123,92
2,40-60,90,84
2,60-80,102,101
2,80-inf,90,94
3,0-20,107,136
3,20-40,122,91
3,40-60,89,84
3,60-80,101,101
3,80-inf,90,93
4,0-20,110,137
4,20-40,121,91
4,40-60,88,83
4,60-80,101,101
4,80-inf,90,93
5,0-20,116,139
5,20-40,117,91
5,40-60,88,82
5,60-80,101,101
5,80-inf,89,93
6,0-20,117,137
6,20-40,116,91
6,40-60,86,81
6,60-80,101,101
6,80-inf,88,93
7,0-20,121,139
7,20-40,116,90
7,40-60,85,79
7,60-80,101,100
7,80-inf,87,93
8,0-20,124,143
8,20-40,115,90
8,40-60,85,79
8,60-80,101,99
8,80-inf,87,93
9,0-20,126,145
9,20-40,115,90
9,40-60,85,79
9,60-80,101,98
9,80-inf,87,93
10,0-20,131,148
10,20-40,114,90
10,40-60,85,77
10,60-80,101,98
10,80-inf,87,92
11,0-20,132,154
11,20-40,112,90
11,40-60,84,76
11,60-80,101,98
11,80-inf,87,92
12,0-20,135,156
12,20-40,112,90
12,40-60,83,76
12,60-80,100,98
12,80-inf,86,92
13,0-20,138,163
13,20-40,108,90
13,40-60,81,74
13,60-80,100,97
13,80-inf,86,92
14,0-20,141,165
14,20-40,108,90
14,40-60,80,74
14,60-80,100,97
14,80-inf,86,92
15,0-20,146,168
15,20-40,107,89
15,40-60,79,73
15,60-80,100,96
15,80-inf,84,92
16,0-20,148,166
16,20-40,107,89
16,40-60,77,73
16,60-80,100,95
16,80-inf,84,91
17,0-20,149,170
17,20-40,104,89
17,40-60,77,73
17,60-80,100,95
17,80-inf,84,91
18,0-20,151,174
18,20-40,103,89
18,40-60,77,72
18,60-80,100,95
18,80-inf,83,91
19,0-20,153,178
19,20-40,103,88
19,40-60,77,72
19,60-80,98,94
19,80-inf,83,90
20,0-20,155,182
20,20-40,102,88
20,40-60,77,72
20,60-80,97,94
20,80-inf,82,90
21,0-20,154,186
21,20-40,101,88
21,40-60,77,72
21,60-80,96,94
21,80-inf,82,89
22,0-20,156,191
22,20-40,101,87
22,40-60,77,72
22,60-80,95,94
22,80-inf,80,88
23,0-20,156,194
23,20-40,101,87
23,40-60,77,72
23,60-80,95,92
23,80-inf,78,88
24,0-20,159,195
24,20-40,101,86
24,40-60,77,71
24,60-80,95,92
24,80-inf,78,88
25,0-20,160,195
25,20-40,100,86
25,40-60,77,71
25,60-80,95,91
25,80-inf,76,87
26,0-20,162,201
26,20-40,100,84
26,40-60,77,71
26,60-80,94,90
26,80-inf,76,86
27,0-20,165,203
27,20-40,100,84
27,40-60,77,71
27,60-80,94,90
27,80-inf,75,85
28,0-20,169,207
28,20-40,100,83
28,40-60,76,71
28,60-80,93,90
28,80-inf,73,85
29,0-20,172,211
29,20-40,100,83
29,40-60,76,71
29,60-80,92,90
29,80-inf,73,84
30,0-20,180,214
30,20-40,99,83
30,40-60,76,71
30,60-80,91,89
30,80-inf,73,84
31,0-20,185,216
31,20-40,98,83
31,40-60,75,71
31,60-80,91,89
31,80-inf,73,84
32,0-20,186,217
32,20-40,98,83
32,40-60,75,71
32,60-80,91,88
32,80-inf,72,83
33,0-20,189,220
33,20-40,98,82
33,40-60,75,71
33,60-80,90,87
33,80-inf,72,82
34,0-20,188,226
34,20-40,98,82
34,40-60,75,68
34,60-80,90,87
34,80-inf,72,81
35,0-20,188,232
35,20-40,98,80
35,40-60,75,68
35,60-80,90,87
35,80-inf,72,80
36,0-20,195,232
36,20-40,98,80
36,40-60,74,67
36,60-80,90,86
36,80-inf,72,79
37,0-20,196,235
37,20-40,98,79
37,40-60,74,67
37,60-80,89,86
37,80-inf,71,78
38,0-20,200,236
38,20-40,98,79
38,40-60,74,66
38,60-80,88,86
38,80-inf,70,78
39,0-20,205,239
39,20-40,96,79
39,40-60,73,66
39,60-80,88,85
39,80-inf,70,78
40,0-20,208,242
40,20-40,95,79
40,40-60,72,66
40,60-80,88,84
40,80-inf,70,78
41,0-20,210,241
41,20-40,95,79
41,40-60,72,65
41,60-80,87,84
41,80-inf,70,78
42,0-20,214,243
42,20-40,95,78
42,40-60,72,63
42,60-80,86,84
42,80-inf,69,78
43,0-20,216,241
43,20-40,95,77
43,40-60,72,63
43,60-80,86,83
43,80-inf,69,77
44,0-20,220,243
44,20-40,95,77
44,40-60,72,62
44,60-80,85,82
44,80-inf,68,77
45,0-20,222,245
45,20-40,94,77
45,40-60,69,62
45,60-80,85,82
45,80-inf,67,77
46,0-20,223,243
46,20-40,93,77
46,40-60,69,62
46,60-80,85,81
46,80-inf,66,77
47,0-20,229,244
47,20-40,93,77
47,40-60,69,62
47,60-80,84,81
47,80-inf,66,77
48,0-20,231,248
48,20-40,93,77
48,40-60,69,62
48,60-80,84,81
48,80-inf,66,77
49,0-20,232,249
49,20-40,92,77
49,40-60,69,62
49,60-80,84,81
49,80-inf,66,76
50,0-20,237,255
50,20-40,92,77
50,40-60,69,62
50,60-80,83,81
50,80-inf,65,75
51,0-20,240,258
51,20-40,91,77
51,40-60,68,62
51,60-80,81,81
51,80-inf,65,75
Period,Age Group,Category 0,Category 1
0,0-20,84,106
0,20-40,100,99
0,40-60,108,95
0,60-80,115,111
0,80-inf,85,97
1,0-20,91,110
1,20-40,98,98
1,40-60,107,93
1,60-80,115,111
1,80-inf,85,96
2,0-20,95,114
2,20-40,98,98
2,40-60,107,92
2,60-80,115,111
2,80-inf,85,96
3,0-20,96,116
3,20-40,98,98
3,40-60,107,92
3,60-80,114,111
3,80-inf,85,96
4,0-20,99,119
4,20-40,97,97
4,40-60,106,90
4,60-80,113,111
4,80-inf,85,94
5,0-20,99,123
5,20-40,96,96
5,40-60,106,89
5,60-80,113,111
5,80-inf,85,92
6,0-20,100,126
6,20-40,96,95
6,40-60,106,88
6,60-80,112,110
6,80-inf,85,92
7,0-20,105,128
7,20-40,96,93
7,40-60,106,85
7,60-80,111,110
7,80-inf,84,92
8,0-20,108,128
8,20-40,94,92
8,40-60,106,84
8,60-80,111,110
8,80-inf,83,92
9,0-20,109,133
9,20-40,93,92
9,40-60,104,84
9,60-80,109,110
9,80-inf,83,92
10,0-20,111,137
10,20-40,93,92
10,40-60,103,82
10,60-80,109,110
10,80-inf,83,91
11,0-20,118,141
11,20-40,93,92
11,40-60,102,81
11,60-80,109,110
11,80-inf,81,90
12,0-20,121,143
12,20-40,93,92
12,40-60,101,81
12,60-80,109,110
12,80-inf,81,89
13,0-20,127,143
13,20-40,91,91
13,40-60,101,81
13,60-80,108,110
13,80-inf,81,89
14,0-20,129,147
14,20-40,91,89
14,40-60,101,80
14,60-80,107,110
14,80-inf,80,89
15,0-20,132,148
15,20-40,91,89
15,40-60,101,80
15,60-80,107,109
15,80-inf,78,88
16,0-20,138,151
16,20-40,91,89
16,40-60,101,80
16,60-80,106,108
16,80-inf,77,87
17,0-20,141,154
17,20-40,91,88
17,40-60,101,80
17,60-80,106,107
17,80-inf,76,87
18,0-20,143,158
18,20-40,91,87
18,40-60,100,80
18,60-80,105,107
18,80-inf,75,86
19,0-20,142,160
19,20-40,90,85
19,40-60,100,80
19,60-80,105,107
19,80-inf,75,86
20,0-20,148,163
20,20-40,89,84
20,40-60,98,80
20,60-80,105,107
20,80-inf,74,86
21,0-20,151,168
21,20-40,89,84
21,40-60,97,80
21,60-80,105,106
21,80-inf,74,86
22,0-20,155,175
22,20-40,89,83
22,40-60,97,80
22,60-80,105,106
22,80-inf,74,86
23,0-20,158,177
23,20-40,89,82
23,40-60,96,80
23,60-80,105,105
23,80-inf,74,84
24,0-20,160,178
24,20-40,89,81
24,40-60,95,78
24,60-80,105,105
24,80-inf,74,83
25,0-20,165,182
25,20-40,89,80
25,40-60,93,78
25,60-80,105,104
25,80-inf,74,83
26,0-20,166,183
26,20-40,89,80
26,40-60,93,78
26,60-80,105,104
26,80-inf,74,83
27,0-20,172,184
27,20-40,88,80
27,40-60,93,76
27,60-80,105,103
27,80-inf,73,83
28,0-20,175,186
28,20-40,87,79
28,40-60,93,76
28,60-80,105,103
28,80-inf,73,83
29,0-20,178,189
29,20-40,87,77
29,40-60,93,76
29,60-80,104,102
29,80-inf,71,83
30,0-20,180,197
30,20-40,87,77
30,40-60,92,76
30,60-80,102,102
30,80-inf,69,83
31,0-20,185,198
31,20-40,87,77
31,40-60,92,76
31,60-80,101,102
31,80-inf,69,81
32,0-20,188,208
32,20-40,86,76
32,40-60,92,76
32,60-80,101,101
32,80-inf,68,81
33,0-20,194,211
33,20-40,85,76
33,40-60,92,76
33,60-80,100,101
33,80-inf,67,81
