,Total births,Average # births,Minimum # births,Maximum # births
births[0],53.000000,14.622642,2.000000,389.000000
births[1],53.000000,14.754717,2.000000,391.000000
births[2],53.000000,14.981132,2.000000,397.000000
births[3],53.000000,14.716981,3.000000,390.000000
births[4],53.000000,15.150943,2.000000,402.000000
births[5],53.000000,15.169811,2.000000,402.000000
births[6],53.000000,14.037736,2.000000,373.000000
births[7],53.000000,13.415094,1.000000,356.000000
births[8],53.000000,13.867925,1.000000,369.000000
births[9],53.000000,14.301887,3.000000,379.000000
,Total births,Average # births,Minimum # births,Maximum # births
births[0],53.000000,14.905660,1.000000,395.000000
births[1],53.000000,14.490566,2.000000,384.000000
births[2],53.000000,14.886792,2.000000,395.000000
births[3],53.000000,15.113208,2.000000,401.000000
births[4],53.000000,14.169811,2.000000,376.000000
births[5],53.000000,14.264151,2.000000,379.000000
births[6],53.000000,14.698113,3.000000,390.000000
births[7],53.000000,14.264151,2.000000,378.000000
births[8],53.000000,15.245283,2.000000,405.000000
births[9],53.000000,14.528302,2.000000,385.000000
,Total births,Average # births,Minimum # births,Maximum # births
births[0],53.000000,14.075472,3.000000,373.000000
births[1],53.000000,15.377358,3.000000,409.000000
births[2],53.000000,15.509434,2.000000,412.000000
births[3],53.000000,14.301887,1.000000,380.000000
births[4],53.000000,15.471698,2.000000,411.000000
births[5],53.000000,14.264151,3.000000,378.000000
births[6],53.000000,14.773585,1.000000,392.000000
births[7],53.000000,12.452830,2.000000,330.000000
births[8],53.000000,14.094340,1.000000,374.000000
births[9],53.000000,14.075472,1.000000,373.000000
