,Average population size,Minimum population size,Maximum population size
population[0],1049.134615,1006.000000,1098.000000
population[1],1040.576923,1004.000000,1090.000000
population[2],1043.634615,1000.000000,1120.000000
population[3],1031.423077,1002.000000,1075.000000
population[4],1046.230769,998.000000,1104.000000
population[5],1032.730769,1000.000000,1079.000000
population[6],1027.557692,989.000000,1066.000000
population[7],1009.942308,990.000000,1045.000000
population[8],1026.711538,1002.000000,1048.000000
population[9],1026.480769,1005.000000,1060.000000
,Average population size,Minimum population size,Maximum population size
population[0],1057.500000,1004.000000,1114.000000
population[1],1055.134615,1007.000000,1083.000000
population[2],1043.596154,999.000000,1095.000000
population[3],1041.884615,999.000000,1105.000000
population[4],1023.076923,997.000000,1056.000000
population[5],1034.519231,1001.000000,1079.000000
population[6],1051.442308,1005.000000,1101.000000
population[7],1028.288462,989.000000,1076.000000
population[8],1057.557692,1003.000000,1122.000000
population[9],1031.980769,996.000000,1072.000000
,Average population size,Minimum population size,Maximum population size
population[0],1034.769231,993.000000,1089.000000
population[1],1058.903846,1000.000000,1138.000000
population[2],1062.423077,1003.000000,1147.000000
population[3],1046.326923,1006.000000,1100.000000
population[4],1047.096154,995.000000,1098.000000
population[5],1029.750000,1000.000000,1057.000000
population[6],1048.442308,1005.000000,1105.000000
population[7],1012.884615,991.000000,1036.000000
population[8],1042.653846,1001.000000,1082.000000
population[9],1046.634615,1000.000000,1101.000000
